CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.06.01.01;Impostos e contribuições a recupear;111862.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.06.01.01;Impostos e contribuições a recupear;52423.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.06.01.02;Imposto de renda e contribuição social a recuperar;44856.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.06.01.02;Imposto de renda e contribuição social a recuperar;41594.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.07;Despesas Antecipadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.07;Despesas Antecipadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08;Outros Ativos Circulantes;38158.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08;Outros Ativos Circulantes;76764.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03;Outros;38158.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03;Outros;76764.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03.01;Adiantamento a fornecedores;6784.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03.01;Adiantamento a fornecedores;3273.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03.02;Instrumentos financeiros derivativos;24077.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03.02;Instrumentos financeiros derivativos;61765.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03.03;Dividendos a receber;2215.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03.03;Dividendos a receber;3888.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03.04;Outros ativos;5082.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03.04;Outros ativos;7838.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02;Ativo Não Circulante;4108836.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02;Ativo Não Circulante;4581657.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01;Ativo Realizável a Longo Prazo;491648.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01;Ativo Realizável a Longo Prazo;336545.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;7611.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;2129.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.03.01;Caixa restrito;7611.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.03.01;Caixa restrito;2129.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.04;Contas a Receber;58236.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.04;Contas a Receber;54532.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.04.01;Clientes;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.04.01;Clientes;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.04.02;Contas a Receber e outros recebíveis;58236.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.04.02;Contas a Receber e outros recebíveis;54532.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.05;Estoques;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.05;Estoques;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.06;Ativos Biológicos;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.06;Ativos Biológicos;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.07;Tributos Diferidos;41142.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.07;Tributos Diferidos;24992.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;41142.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;24992.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.08;Despesas Antecipadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.08;Despesas Antecipadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09;Créditos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09;Créditos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09.01;Créditos com Coligadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09.01;Créditos com Coligadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09.03;Créditos com Controladores;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09.03;Créditos com Controladores;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09.04;Créditos com Outras Partes Relacionadas;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09.04;Créditos com Outras Partes Relacionadas;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10;Outros Ativos Não Circulantes;384659.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10;Outros Ativos Não Circulantes;254892.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.03;Impostos e contribuições a recuperar;103016.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.03;Impostos e contribuições a recuperar;102036.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.04;Imposto de renda e contribuição social a recuperar;1662.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.04;Imposto de renda e contribuição social a recuperar;490.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.05;Depósitos judiciais;112068.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.05;Depósitos judiciais;65601.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.06;Instrumentos financeiros derivativos;167913.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.06;Instrumentos financeiros derivativos;86765.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.02;Investimentos;82222.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.02;Investimentos;89652.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.02.01;Participações Societárias;82222.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.02.01;Participações Societárias;89652.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.02.01.01;Participações em Coligadas;79541.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.02.01.01;Participações em Coligadas;85552.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.02.01.04;Participações em Controladas em Conjunto;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.02.01.04;Participações em Controladas em Conjunto;0.0000000000;S
